instr,Ecoa1,Ecoa2,Ecoa3,class,nb.repeat,attendance,difficulty
RF01023352,41,45,45,TC2011,1,3,3
RF01023352,9,33,44,TC2011,1,1,1
RF01023352,26,27,27,TC2011,1,1,4
RF01023352,15,9,9,TC2011,1,4,4
RF01023352,42,45,45,TC2011,1,3,4
RF01023352,41,45,45,TC2011,1,3,3
RF01023352,42,45,45,TC2011,1,3,4
RF01023352,33,42,44,TC2011,1,3,3
RF01023352,42,45,45,TC2011,1,3,4
RF01023352,35,33,36,TC2011,1,2,5
RF01023352,41,45,45,TC2011,1,4,2
RF01023352,41,45,45,TC2011,1,3,3
RF01023352,37,44,45,TC2011,1,4,3
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,29,32,27,TC2011,1,3,3
RF01023352,36,41,39,TC2011,1,3,3
RF01023352,33,41,36,TC2011,1,4,3
RF01023352,16,21,24,TC2011,1,0,1
RF01023352,27,27,27,TC2011,3,1,5
RF01023352,32,44,40,TC2011,1,1,5
RF01023352,33,36,36,TC2011,1,1,4
RF01023352,40,45,45,TC2011,1,3,3
RF01023352,29,27,27,TC2011,1,3,5
RF01023352,35,36,37,TC2011,1,4,3
RF01023352,30,32,36,TC2011,1,1,4
RF01023352,36,36,36,TC2011,1,3,5
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,16,9,9,TC2011,1,4,5
RF01023352,12,9,9,TC2011,1,0,5
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,36,36,36,TC2011,1,4,4
RF01023352,42,45,45,TC2011,1,3,4
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,41,45,45,TC2011,1,3,3
RF01023352,28,27,25,TC2011,1,3,4
RF01023352,28,27,27,TC2011,1,3,4
RF01023352,38,45,45,TC2011,1,0,3
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,38,45,45,TC2011,1,4,3
RF01023352,16,9,9,TC2011,3,1,1
RF01023352,41,45,45,TC2011,2,2,4
RF01023352,10,9,9,TC2011,1,0,3
RF01023352,39,45,45,TC2011,2,0,4
RF01023352,31,36,36,TC2011,2,1,4
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,35,40,45,TC2011,1,2,4
RF01023352,42,45,45,TC2011,1,3,4
RF01023352,9,9,9,TC2011,1,1,1
RF01023352,42,45,45,TC2011,1,3,4
RF01023352,43,45,45,TC2011,1,4,4
RF01023352,18,23,26,TC2011,1,1,3
RF01023352,42,45,45,TC2011,1,4,3
RF01023352,28,41,45,TC2011,1,1,5
RF01023352,29,27,27,TC2011,1,3,5
RF01023352,27,27,27,TC2011,1,2,4
RF01023352,22,18,18,TC2011,1,3,5
RF01023352,36,36,36,TC2011,1,3,5
RF01023352,36,36,36,TC2011,1,4,4
RF01023352,13,9,9,TC2011,1,1,5
RF01023352,44,45,45,TC2011,1,4,5
RF01023352,37,45,45,TC2011,1,0,2
RF01023352,42,45,45,TC2011,1,3,4
RF01023352,43,45,45,TC2011,1,4,4
RF01023352,41,45,45,TC2011,1,3,3
RF01023352,20,23,34,TC2011,1,2,4
RF01023352,42,45,45,TC2011,1,2,5
RF01023352,27,27,20,TC2011,1,2,4
RF01023352,27,27,27,TC2011,1,1,5
RF01023352,40,45,45,TC2011,1,0,5
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,21,28,36,TC2011,1,4,3
RF01023352,12,9,9,TC2011,1,0,1
RF01023352,20,27,26,TC2011,1,2,5
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,27,11,9,TC2011,2,1,2
RF01023352,43,45,45,TC2011,1,4,4
RF01023352,40,45,45,TC2011,1,0,5
RF01023352,29,27,27,TC2011,1,3,5
RF01023352,28,27,27,TC2011,1,3,4
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,29,27,27,TC2011,1,3,5
RF01023352,42,45,45,TC2011,1,3,4
RF01023352,21,18,18,TC2011,1,3,4
RF01023352,27,37,39,TC2011,2,1,5
RF01023352,22,27,23,TC2011,1,2,4
RF01023352,25,27,27,TC2011,3,0,4
RF01023352,10,9,10,TC2011,1,1,1
RF01023352,25,27,27,TC2011,3,1,3
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,44,45,45,TC2011,2,4,5
RF01023352,32,27,27,TC2011,1,1,3
RF01023352,28,33,36,TC2011,1,3,3
RF01023352,33,34,34,TC2011,1,1,4
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,29,31,30,TC2011,1,2,2
RF01023352,39,45,45,TC2011,1,4,4
RF01023352,24,30,32,TC2011,1,2,4
RF01023352,35,40,36,TC2011,1,3,4
RF01023352,33,36,36,TC2011,1,4,4
RF01023352,13,9,9,TC2011,1,3,3
RF01023352,23,28,32,TC2011,1,4,4
RF01023352,31,36,36,TC2011,1,0,3
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,26,27,27,TC2011,1,1,4
RF01023352,27,36,36,TC2011,1,4,3
RF01023352,8,10,9,TC2011,1,0,1
RF01023352,26,27,26,TC2011,1,2,4
RF01023352,32,36,36,TC2011,1,1,3
RF01023352,24,21,24,TC2011,1,2,4
RF01023352,31,36,36,TC2011,1,1,4
RF01023352,14,9,9,TC2011,1,4,3
RF01023352,26,24,25,TC2011,1,4,4
RF01023352,42,45,45,TC2011,1,4,3
RF01023352,17,20,15,TC2011,1,3,3
RF01023352,36,42,45,TC2011,1,4,4
RF01023352,40,45,45,TC2011,1,4,3
RF01023352,30,34,33,TC2011,1,3,3
RF01023352,23,27,27,TC2011,1,1,3
RF01023352,29,32,35,TC2011,1,3,4
RF01023352,33,36,36,TC2011,1,1,4
RF01023352,43,45,45,TC2011,1,3,5
RF01023352,12,9,9,TC2011,1,2,3
RF01023352,18,17,26,TC2011,1,1,4
RF01023352,26,27,27,TC2011,1,2,3
RF01023352,26,33,37,TC2011,2,3,4
RF01023352,32,36,36,TC2011,1,1,3
RF01023352,27,34,35,TC2011,1,3,4
RF01023352,31,36,36,TC2011,1,1,4
RF01023352,26,27,27,TC2011,3,1,4
RF01023352,26,27,27,TC2011,3,1,4
RF01023352,40,45,45,TC2011,3,0,5
RF01023352,24,28,23,TC2011,3,0,4
RF01023352,11,9,9,TC2011,3,0,4
RF01023352,26,27,27,TC2011,2,1,4
RF01023352,39,45,45,TC2011,3,0,4
RF01023352,40,45,45,TC2011,1,0,5
RF01023352,19,18,18,TC2011,1,0,5
RF01023352,25,27,27,TC2011,3,0,4
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,25,34,28,TC2011,2,0,4
RF01023352,27,36,30,TC2011,2,0,3
RF01023352,26,27,27,TC2011,3,1,4
RF01023352,17,18,18,TC2011,2,0,3
RF01023352,12,9,9,TC2011,1,0,5
RF01023352,23,29,41,TC2011,1,3,5
RF01023352,20,27,27,TC2011,1,0,1
RF01023352,32,36,36,TC2011,1,3,4
RF01023352,26,27,30,TC2011,1,3,4
RF01023352,23,32,27,TC2011,1,3,4
RF01023352,36,36,36,TC2011,1,4,4
RF01023352,33,30,35,TC2011,1,4,3
RF01023352,11,9,9,TC2011,1,1,3
RF01023352,21,15,15,TC2011,1,4,4
RF01023352,26,28,30,TC2011,1,3,4
RF01023352,36,37,35,TC2011,1,4,4
RF01023352,27,27,27,TC2011,1,3,3
RF01023352,27,31,32,TC2011,1,1,4
RF01023352,20,25,28,TC2011,1,2,5
RF01023352,14,9,9,TC2011,1,2,5
RF01023352,26,23,18,TC2011,1,1,4
RF01023352,31,33,27,TC2011,1,3,5
RF01023352,15,23,27,TC2011,1,3,4
RF01023352,29,33,34,TC2011,1,2,4
RF01023352,32,35,39,TC2011,1,1,3
RF01023352,27,24,25,TC2011,1,3,3
RF01023352,29,24,21,TC2011,1,3,5
RF01023352,22,11,9,TC2011,1,2,3
RF01023352,19,13,9,TC2011,3,0,5
RF01023352,32,31,25,TC2011,1,4,4
RF01023352,31,29,38,TC2011,1,4,4
RF01023352,28,32,25,TC2011,1,3,4
RF01023352,26,27,27,TC2011,1,0,5
RF01023352,14,14,16,TC2011,1,1,4
RF01023352,35,33,34,TC2011,1,3,4
RF01023352,39,42,45,TC2011,1,0,4
RF01023352,20,21,22,TC2011,1,3,4
RF01023352,25,31,27,TC2011,1,3,4
RF01023352,29,27,27,TC2011,1,3,5
RF01023352,26,27,27,TC2011,1,2,3
RF01023352,29,27,27,TC2011,1,3,5
RF01023352,27,27,27,TC2011,1,1,5
RF01023352,15,11,9,TC2011,1,3,5
RF01023352,17,9,9,TC2011,1,1,5
RF01023352,38,45,45,TC2011,1,1,2
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,40,45,45,TC2011,3,1,4
RF01023352,33,36,36,TC2011,2,1,4
RF01023352,29,37,36,TC2011,3,0,4
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,37,38,38,TC2011,2,4,4
RF01023352,33,37,39,TC2011,3,2,4
RF01023352,35,36,36,TC2011,2,4,3
RF01023352,31,36,36,TC2011,1,1,2
RF01023352,13,9,9,TC2011,2,1,5
RF01023352,26,32,15,TC2011,2,0,5
RF01023352,14,9,9,TC2011,1,3,4
RF01023352,14,9,9,TC2011,1,2,5
RF01023352,33,36,36,TC2011,1,1,4
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,38,41,45,TC2011,1,4,5
RF01023352,24,31,24,TC2011,1,1,3
RF01023352,31,35,37,TC2011,1,3,4
RF01023352,36,36,36,TC2011,1,4,4
RF01023352,30,27,27,TC2011,1,4,5
RF01023352,25,25,24,TC2011,1,4,4
RF01023352,22,29,32,TC2011,1,4,4
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,22,27,27,TC2011,1,3,5
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,28,27,27,TC2011,1,2,5
RF01023352,24,29,27,TC2011,1,3,4
RF01023352,27,34,29,TC2011,1,3,3
RF01023352,23,33,32,TC2011,1,3,4
RF01023352,22,24,22,TC2011,1,3,4
RF01023352,14,9,9,TC2011,1,3,4
RF01023352,13,9,9,TC2011,1,3,3
RF01023352,34,37,42,TC2011,1,4,5
RF01023352,25,27,27,TC2011,1,0,4
RF01023352,41,43,45,TC2011,1,4,3
RF01023352,26,27,27,TC2011,1,2,3
RF01023352,30,31,34,TC2011,1,3,4
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,23,24,31,TC2011,3,0,4
RF01023352,32,36,36,TC2011,3,0,4
RF01023352,27,27,27,TC2011,3,1,5
RF01023352,30,37,31,TC2011,3,0,5
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,26,29,25,TC2011,2,1,5
RF01023352,28,32,36,TC2011,3,2,5
RF01023352,35,36,36,TC2011,3,2,5
RF01023352,12,14,18,TC2011,3,0,5
RF01023352,40,45,45,TC2011,3,1,4
RF01023352,34,36,36,TC2011,1,1,5
RF01023352,26,27,27,TC2011,3,1,4
RF01023352,17,25,22,TC2011,1,0,5
RF01023352,12,9,9,TC2011,1,2,3
RF01023352,32,36,39,TC2011,1,4,5
RF01023352,24,27,27,TC2011,2,1,2
RF01023352,34,41,45,TC2011,1,2,4
RF01023352,43,41,45,TC2011,1,4,4
RF01023352,27,36,35,TC2011,1,4,4
RF01023352,42,45,45,TC2011,1,3,4
RF01023352,43,45,45,TC2011,1,4,4
RF01023352,37,36,36,TC2011,1,4,5
RF01023352,26,27,27,TC2011,1,1,4
RF01023352,31,35,36,TC2011,1,3,4
RF01023352,36,45,45,TC2011,1,4,4
RF01023352,38,45,45,TC2011,1,4,4
RF01023352,28,26,27,TC2011,1,1,4
RF01023352,15,9,9,TC2011,1,3,5
RF01023352,31,36,39,TC2011,1,1,3
RF01023352,29,27,27,TC2011,1,3,5
RF01023352,42,44,45,TC2011,1,4,4
RF01023352,26,22,27,TC2011,1,4,5
RF01023352,31,36,36,TC2011,1,1,4
RF01023352,25,26,26,TC2011,1,3,5
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,13,9,9,TC2011,1,1,5
RF01023352,16,14,18,TC2011,2,4,5
RF01023352,28,27,27,TC2011,1,2,5
RF01023352,42,44,45,TC2011,1,4,3
RF01023352,28,27,32,TC2011,1,3,4
RF01023352,14,9,9,TC2011,1,2,5
RF01023352,12,9,9,TC2011,1,2,3
RF01023352,12,9,9,TC2011,1,0,5
RF01023352,28,32,36,TC2011,1,3,4
RF01023352,15,9,9,TC2011,1,3,5
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,28,27,27,TC2011,1,2,5
RF01023352,15,9,9,TC2011,1,3,5
RF01023352,16,9,9,TC2011,1,4,5
RF01023352,35,45,45,TC2011,1,1,3
RF01023352,29,36,36,TC2011,1,1,3
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,22,36,36,TC2011,1,0,1
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,10,9,9,TC2011,1,2,1
RF01023352,22,26,27,TC2011,1,0,1
RF01023352,24,27,27,TC2011,1,1,2
RF01023352,28,27,27,TC2011,1,0,2
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,14,9,9,TC2011,1,4,3
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,29,36,36,TC2011,1,0,1
RF01023352,42,34,40,TC2011,1,4,4
RF01023352,39,45,45,TC2011,1,1,3
RF01023352,36,38,40,TC2011,1,4,4
RF01023352,29,36,36,TC2011,3,0,1
RF01023352,19,18,18,TC2011,1,3,2
RF01023352,25,25,25,TC2011,1,4,2
RF01023352,15,20,24,TC2011,1,0,1
RF01023352,19,33,28,TC2011,1,0,1
RF01023352,36,36,36,TC2011,1,4,4
RF01023352,24,14,9,TC2011,1,2,5
RF01023352,22,20,18,TC2011,3,4,1
RF01023352,29,36,36,TC2011,1,0,1
RF01023352,43,45,45,TC2011,1,4,5
RF01023352,29,27,24,TC2011,1,4,3
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,24,22,20,TC2011,1,4,2
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,13,11,9,TC2011,1,4,1
RF01023352,13,14,14,TC2011,1,3,1
RF01023352,29,36,36,TC2011,1,0,1
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,17,18,18,TC2011,1,0,3
RF01023352,29,36,36,TC2011,1,0,1
RF01023352,17,18,18,TC2011,1,0,3
RF01023352,15,20,19,TC2011,1,0,1
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,32,36,36,TC2011,1,2,2
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,15,19,18,TC2011,1,0,1
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,23,31,27,TC2011,1,0,1
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,29,36,41,TC2011,1,0,1
RF01023352,35,38,37,TC2011,1,2,3
RF01023352,29,45,45,TC2011,1,1,1
RF01023352,26,19,33,TC2011,1,3,2
RF01023352,9,9,10,TC2011,1,0,1
RF01023352,34,29,25,TC2011,1,4,2
RF01023352,43,45,45,TC2011,1,3,5
RF01023352,14,18,18,TC2011,1,0,1
RF01023352,32,36,36,TC2011,1,3,1
RF01023352,22,29,29,TC2011,1,4,2
RF01023352,30,38,37,TC2011,1,1,2
RF01023352,20,21,20,TC2011,1,0,1
RF01023352,31,33,27,TC2011,1,1,2
RF01023352,36,45,45,TC2011,1,2,3
RF01023352,24,27,27,TC2011,1,2,1
RF01023352,8,9,10,TC2011,1,0,1
RF01023352,19,9,9,TC2011,1,3,5
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,11,9,9,TC2011,1,0,1
RF01023352,31,36,34,TC2011,1,2,1
RF01023352,15,18,18,TC2011,1,0,1
RF01023352,29,36,36,TC2011,1,0,1
RF01023352,19,18,18,TC2011,1,0,1
RF01023352,14,18,18,TC2011,1,0,1
RF01023352,25,36,36,TC2011,1,0,1
RF01023352,16,22,21,TC2011,1,0,1
RF01023352,33,36,36,TC2011,1,3,2
RF01023352,21,30,24,TC2011,1,3,1
RF01023352,12,9,9,TC2011,1,3,2
RF01023352,14,18,18,TC2011,1,0,1
RF01023352,14,22,27,TC2011,1,0,1
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,30,36,36,TC2011,1,0,2
RF01023352,18,18,18,TC2011,1,2,2
RF01023352,8,15,14,TC2011,1,0,1
RF01023352,29,34,35,TC2011,1,0,1
RF01023352,19,20,19,TC2011,1,4,1
RF01023352,29,36,36,TC2011,1,0,1
RF01023352,14,11,10,TC2011,1,2,1
RF01023352,27,36,31,TC2011,1,0,3
RF01023352,44,45,45,TC2011,3,4,5
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,29,36,36,TC2011,1,0,1
RF01023352,34,31,27,TC2011,1,3,3
RF01023352,32,29,27,TC2011,1,2,3
RF01023352,22,32,36,TC2011,1,0,1
RF01023352,24,27,27,TC2011,1,0,3
RF01023352,25,26,27,TC2011,1,3,2
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,20,25,27,TC2011,1,0,1
RF01023352,23,31,27,TC2011,1,3,1
RF01023352,26,24,20,TC2011,1,3,2
RF01023352,27,22,18,TC2011,1,2,4
RF01023352,11,9,9,TC2011,1,3,1
RF01023352,33,36,36,TC2011,1,2,3
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,33,36,36,TC2011,1,0,5
RF01023352,37,36,35,TC2011,1,4,5
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,29,36,36,TC2011,1,0,1
RF01023352,27,32,38,TC2011,1,0,1
RF01023352,28,26,25,TC2011,1,0,1
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,34,37,36,TC2011,1,3,3
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,32,36,36,TC2011,1,3,1
RF01023352,26,27,27,TC2011,1,2,3
RF01023352,19,23,19,TC2011,1,2,1
RF01023352,13,9,9,TC2011,1,2,4
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,32,36,36,TC2011,1,3,1
RF01023352,44,45,45,TC2011,1,4,5
RF01023352,35,45,45,TC2011,1,1,1
RF01023352,30,36,36,TC2011,1,1,1
RF01023352,29,36,36,TC2011,1,0,1
RF01023352,39,37,45,TC2011,1,3,1
RF01023352,33,36,36,TC2011,1,2,3
RF01023352,32,36,35,TC2011,1,0,5
RF01023352,27,27,27,TC2011,1,2,4
RF01023352,26,27,27,TC2011,1,0,5
RF01023352,27,28,22,TC2011,1,1,4
RF01023352,17,18,18,TC2011,2,1,2
RF01023352,12,14,18,TC2011,1,0,5
RF01023352,35,36,36,TC2011,1,4,3
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,44,45,45,TC2011,3,4,5
RF01023352,31,45,27,TC2011,1,1,3
RF01023352,24,27,27,TC2011,1,0,3
RF01023352,37,45,45,TC2011,1,0,2
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,32,35,38,TC2011,1,4,3
RF01023352,22,21,18,TC2011,1,4,4
RF01023352,42,25,9,TC2011,1,4,3
RF01023352,25,25,20,TC2011,1,3,3
RF01023352,33,27,27,TC2011,1,4,4
RF01023352,20,18,18,TC2011,1,3,3
RF01023352,26,27,27,TC2011,1,2,3
RF01023352,22,27,27,TC2011,1,0,1
RF01023352,43,45,45,TC2011,1,4,4
RF01023352,19,18,18,TC2011,1,1,3
RF01023352,28,27,27,TC2011,1,4,3
RF01023352,21,27,36,TC2011,1,0,4
RF01023352,32,30,32,TC2011,1,3,4
RF01023352,35,36,36,TC2011,1,4,3
RF01023352,20,20,20,TC2011,1,3,4
RF01023352,43,45,45,TC2011,1,3,5
RF01023352,18,18,18,TC2011,1,2,2
RF01023352,35,36,36,TC2011,1,4,3
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,43,45,45,TC2011,1,4,4
RF01023352,42,45,45,TC2011,1,4,3
RF01023352,34,36,36,TC2011,1,4,2
RF01023352,26,27,27,TC2011,1,2,3
RF01023352,33,36,36,TC2011,1,2,3
RF01023352,41,45,45,TC2011,1,3,3
RF01023352,28,31,27,TC2011,1,3,4
RF01023352,26,28,26,TC2011,1,1,3
RF01023352,17,18,18,TC2011,2,1,2
RF01023352,28,27,27,TC2011,1,3,4
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,10,9,9,TC2011,1,0,3
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,32,37,38,TC2011,1,3,3
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,32,37,38,TC2011,1,1,3
RF01023352,8,10,10,TC2011,1,0,1
RF01023352,30,18,22,TC2011,1,4,5
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,30,33,36,TC2011,1,2,4
RF01023352,32,36,36,TC2011,1,1,3
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,25,32,35,TC2011,1,1,3
RF01023352,42,45,45,TC2011,1,4,3
RF01023352,33,37,36,TC2011,1,2,3
RF01023352,42,45,45,TC2011,1,4,3
RF01023352,24,32,34,TC2011,1,1,2
RF01023352,27,27,27,TC2011,1,3,3
RF01023352,30,36,36,TC2011,1,4,3
RF01023352,18,18,18,TC2011,2,1,2
RF01023352,11,9,9,TC2011,1,1,3
RF01023352,35,31,27,TC2011,1,2,5
RF01023352,26,27,27,TC2011,1,1,3
RF01023352,29,37,32,TC2011,1,1,3
RF01023352,27,27,27,TC2011,1,3,3
RF01023352,36,40,41,TC2011,1,2,3
RF01023352,19,23,27,TC2011,1,2,3
RF01023352,26,30,33,TC2011,1,2,2
RF01023352,30,31,31,TC2011,1,3,3
RF01023352,18,18,18,TC2011,1,1,3
RF01023352,32,36,36,TC2011,1,1,3
RF01023352,11,9,9,TC2011,1,1,3
RF01023352,32,36,36,TC2011,1,2,2
RF01023352,27,27,27,TC2011,1,3,3
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,41,45,45,TC2011,1,4,2
RF01023352,39,43,42,TC2011,1,4,3
RF01023352,11,9,9,TC2011,1,1,3
RF01023352,25,27,27,TC2011,1,2,2
RF01023352,13,19,27,TC2011,1,4,2
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,34,42,31,TC2011,1,3,3
RF01023352,28,30,23,TC2011,1,1,4
RF01023352,29,30,26,TC2011,1,0,1
RF01023352,36,45,45,TC2011,1,0,1
RF01023352,29,27,26,TC2011,1,3,4
RF01023352,32,36,36,TC2011,1,1,3
RF01023352,39,45,45,TC2011,1,2,2
RF01023352,35,23,27,TC2011,1,2,4
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,29,27,27,TC2011,1,4,4
RF01023352,28,27,27,TC2011,1,3,4
RF01023352,12,43,40,TC2011,1,0,2
RF01023352,9,9,9,TC2011,1,1,1
RF01023352,30,36,36,TC2011,1,2,3
RF01023352,33,36,36,TC2011,1,2,3
RF01023352,21,18,18,TC2011,1,3,4
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,24,19,21,TC2011,2,4,5
RF01023352,25,27,27,TC2011,2,1,3
RF01023352,32,36,36,TC2011,1,1,3
RF01023352,29,31,32,TC2011,1,1,3
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,35,36,36,TC2011,1,3,4
RF01023352,40,45,35,TC2011,1,2,3
RF01023352,32,36,36,TC2011,1,1,3
RF01023352,30,32,28,TC2011,1,1,3
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,30,36,36,TC2011,1,0,2
RF01023352,29,33,34,TC2011,1,1,4
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,42,45,45,TC2011,1,4,3
RF01023352,26,27,27,TC2011,2,2,3
RF01023352,12,9,9,TC2011,1,0,5
RF01023352,41,45,45,TC2011,1,3,3
RF01023352,36,36,36,TC2011,1,4,4
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,20,20,20,TC3045,3,1,5
RF01023352,37,41,40,TC3045,1,3,3
RF01023352,41,45,45,TC3045,1,3,3
RF01023352,26,27,27,TC3045,1,2,3
RF01023352,8,9,9,TC3045,1,0,1
RF01023352,41,45,45,TC3045,1,3,3
RF01023352,25,27,27,TC3045,2,1,3
RF01023352,32,36,36,TC3045,1,0,4
RF01023352,38,45,45,TC3045,1,1,2
RF01023352,13,9,9,TC3045,1,1,5
RF01023352,37,45,45,TC3045,2,3,3
RF01023352,31,29,29,TC3045,2,2,3
RF01023352,25,27,27,TC3045,1,1,3
RF01023352,39,45,45,TC3045,1,1,3
RF01023352,33,36,36,TC3045,1,2,3
RF01023352,27,27,27,TC3045,1,3,3
RF01023352,33,33,35,TC3045,1,1,4
RF01023352,34,36,36,TC3045,1,3,3
RF01023352,39,41,36,TC3045,1,1,3
RF01023352,33,36,36,TC3045,1,2,3
RF01023352,35,38,40,TC3045,1,4,3
RF01023352,24,24,26,TC3045,1,4,4
RF01023352,42,45,45,TC3045,1,4,3
RF01023352,34,36,36,TC3045,1,3,3
